CustID,Age,TotalNumItems,TotalAmount
27651,19,26,6890.619999999999
45410,20,28,8440.57
17048,25,29,8968.87
39256,23,38,12813.800000000003
39713,23,36,10156.1
25649,19,29,10122.279999999999
23492,23,28,8017.809999999999
19141,24,23,6299.0199999999995
19158,20,32,11906.54
13638,21,27,6538.03
39104,22,30,9884.439999999999
40634,25,24,6560.539999999999
32912,20,30,10139.25
18147,22,31,8702.710000000001
39473,22,35,10069.37
45298,22,31,10837.039999999997
15375,24,25,5237.67
32667,24,33,9026.79
49048,20,26,7291.820000000001
35323,18,26,8215.269999999999
34340,19,20,6425.95
38287,25,26,8804.370000000003
27255,20,19,5336.96
41862,24,24,6923.179999999999
11938,19,25,8297.49
22129,18,33,8571.26
17979,20,28,8385.810000000001
17971,20,31,9629.530000000002
37907,25,25,7041.290000000001
48229,24,34,10132.05
49509,25,33,9844.0
14805,21,27,7724.2699999999995
14832,24,30,8362.449999999999
38589,22,27,9208.57
10237,21,24,6892.03
1224,21,30,7615.639999999999
191,25,25,7642.37
27254,18,32,10415.329999999998
29299,23,30,9890.26
23124,19,34,9482.249999999998
49257,23,35,10859.479999999998
41709,22,16,5655.68
12936,23,26,10085.06
25946,19,30,11171.36
42388,22,29,8847.91
1258,25,32,9220.49
46356,18,29,7734.44
37156,19,41,11171.010000000002
15197,25,39,11835.119999999997
9691,21,32,9955.04
21417,20,35,10982.400000000001
37514,21,29,10825.989999999998
28555,25,27,7436.6399999999985
29737,24,27,7676.699999999999
21640,18,32,8698.840000000002
25216,20,27,8467.37
13832,18,28,9383.34
36399,24,22,5120.61
29366,25,33,8649.710000000001
2989,22,28,9322.270000000002
1551,22,32,10768.52
23138,25,41,13168.749999999996
10573,24,37,10991.9
7679,20,31,11078.29
29649,21,31,8379.609999999997
46570,25,21,6464.730000000001
38523,22,34,9990.309999999998
19542,20,29,8196.55
48772,18,34,10704.539999999999
39984,19,37,11664.580000000004
39448,23,31,8342.52
4519,19,33,10331.240000000002
21596,22,19,6518.509999999999
19392,24,21,7637.5
7146,24,28,9927.46
31691,19,26,8041.6500000000015
12402,23,32,9737.710000000003
43701,23,22,7002.73
20881,24,29,7481.31
46492,22,37,11566.829999999998
15198,19,22,7302.53
1919,25,33,7439.700000000002
43166,25,28,8112.67
7543,23,36,10799.03
5850,18,28,8033.2800000000025
2520,20,38,11216.39
18880,25,26,7824.559999999999
25566,25,23,6436.68
14329,18,24,7292.560000000001
42305,23,31,10456.11
49550,18,26,7110.41
48651,18,32,10562.339999999998
46475,23,30,9436.050000000001
20257,22,39,13144.68
27301,24,24,7738.7300000000005
40622,23,33,8756.89
1280,21,47,14739.779999999999
10374,22,29,8574.190000000002
29972,24,24,6686.01
4929,19,36,9097.15
926,22,29,8964.580000000002
10510,22,28,10005.56
44617,23,41,12025.570000000002
45788,22,20,5345.280000000001
40937,23,33,8603.32
12390,22,33,10783.279999999999
10176,20,27,7245.059999999999
37758,25,20,6181.37
6264,19,27,8085.669999999998
20864,18,26,7748.6
12873,19,32,8326.939999999999
45300,24,26,8165.33
9341,23,21,6482.469999999999
296,19,29,10426.230000000001
6363,20,21,5089.0199999999995
24957,18,24,5839.759999999999
30634,19,26,7709.829999999998
19540,18,36,10241.650000000001
12467,19,31,8408.16
39095,18,29,9549.960000000001
24029,22,28,9815.48
46386,19,33,10906.51
17871,20,16,4572.870000000001
29000,20,25,6868.389999999999
15965,25,27,8257.79
17100,19,26,8711.920000000002
40403,25,26,8866.42
16361,18,32,9774.190000000002
415,23,33,9883.779999999999
3252,19,29,8737.95
34499,23,22,6774.87
20473,25,19,3544.28
22170,22,25,7014.35
20404,19,34,9478.509999999997
40925,21,23,6006.710000000002
10426,24,31,9574.54
49545,18,25,8240.76
