TransID,CustID,TransTotal,TransNumItems,TransDesc
2,49772,331.5,2,Health customer these better.
6,8556,277.57,4,Growth already visit rule.
10,27212,288.92,5,Common at write culture late bar up.
19,42739,352.36,11,Compare ready civil many.
31,3363,526.67,7,Sea pattern huge.
32,26679,170.93,6,Cell career rather fine guy ok because film.
36,32405,122.82,9,Food surface fire.
37,36329,268.54,5,Similar despite.
53,48545,596.66,4,Everything coach the share professor.
57,3916,440.4,7,Wall financial right career avoid.
59,7551,290.34,3,Arrive term should company.
61,36052,231.2,2,Fund learn very never.
62,1283,102.6,14,Community include right.
63,48498,327.02,12,Prove house food.
66,1308,543.88,9,Region wrong economy brother.
67,44753,34.18,3,However already number force.
68,16673,587.24,5,Realize campaign here service.
72,2920,577.8,15,Claim us college provide.
74,14433,78.29,4,Both company worry any.
82,48740,339.39,10,Medical fear statement.
83,2771,31.51,5,Help call young specific decide.
84,16831,264.49,6,Ahead and politics appear form.
86,16650,168.6,2,Say someone similar.
91,13326,97.67,1,Us four Congress goal.
96,20289,563.59,13,Ball effort as car degree.
99,21734,489.64,3,Benefit new should nor.
102,16956,595.51,8,Pattern star point picture religious.
105,43382,506.27,14,End suddenly do.
125,18744,556.26,14,Meet mission hold and.
127,1559,471.31,3,Check prove lot game.
135,14612,230.58,4,Hot half bit.
136,48150,108.71,5,Another article skill nation.
140,754,228.35,3,Create view wish power.
146,38374,79.61,15,At teach sort exactly tell.
148,39934,575.35,7,Cover offer break perhaps social.
154,29919,356.25,7,Senior reveal think with range.
155,13901,247.84,8,Recognize our bit.
156,33949,388.66,5,Several there role crime buy we.
158,27344,172.94,5,Blood risk value girl ok.
159,30206,160.67,5,Certainly bed can move.
160,17410,223.16,8,Hotel its keep same.
164,25473,597.71,11,What fish weight.
168,9534,117.98,7,Share operation catch.
169,17132,153.23,8,Add friend office should.
175,26917,319.95,3,Push wrong us would wall.
180,11457,186.24,5,Suggest generation once.
181,7539,358.54,3,Ask once back administration different.
183,22968,510.42,1,Ago affect husband thank.
184,35912,14.48,7,First food name service a.
190,16427,65.33,14,Look response need.
