C1_ID,C2_ID,Age1,Age2,TotalAmount1,TotalAmount2,TotalItemCount1,TotalItemCount2
27651,45145,19,21,6890.619999999999,6584.800000000001,26,28
27651,30617,19,23,6890.619999999999,6757.33,26,27
27651,45599,19,21,6890.619999999999,6279.000000000001,26,27
45410,45621,20,24,8440.57,8297.279999999999,28,29
45410,46638,20,24,8440.57,7610.399999999998,28,30
25649,39104,19,22,10122.28,9884.44,29,30
25649,39473,19,22,10122.28,10069.37,29,35
25649,32667,19,24,10122.28,9026.79,29,33
25649,49509,19,25,10122.28,9844.0,29,33
25649,29299,19,23,10122.28,9890.26,29,30
25649,29366,19,25,10122.28,8649.710000000001,29,33
25649,29649,19,21,10122.28,8379.609999999997,29,31
25649,38523,19,22,10122.28,9990.309999999998,29,34
25649,39448,19,23,10122.28,8342.52,29,31
25649,46475,19,23,10122.28,9436.05,29,30
25649,40622,19,23,10122.28,8756.89,29,33
25649,40937,19,23,10122.28,8603.32,29,33
25649,40512,19,21,10122.28,9725.440000000002,29,30
25649,33127,19,23,10122.28,9824.100000000002,29,30
25649,49913,19,23,10122.28,9107.1,29,30
25649,26718,19,23,10122.28,9134.71,29,30
25649,38229,19,21,10122.28,8775.15,29,30
25649,32109,19,20,10122.28,9574.670000000002,29,35
25649,35842,19,25,10122.28,9934.250000000002,29,32
25649,42877,19,22,10122.28,9854.32,29,36
25649,29738,19,25,10122.28,9489.500000000002,29,32
25649,35945,19,22,10122.28,9294.349999999997,29,30
25649,39053,19,22,10122.28,9837.62,29,31
25649,38684,19,22,10122.28,9822.139999999994,29,38
25649,26699,19,20,10122.28,10083.31,29,31
25649,49306,19,24,10122.28,9758.87,29,30
25649,35642,19,23,10122.28,9460.62,29,39
25649,41281,19,25,10122.28,10026.49,29,31
25649,27831,19,23,10122.28,9368.79,29,31
25649,35257,19,20,10122.28,9680.769999999997,29,30
25649,26057,19,20,10122.28,9498.919999999998,29,34
25649,37394,19,25,10122.28,9568.079999999998,29,35
25649,40224,19,24,10122.28,9412.989999999998,29,33
25649,33305,19,22,10122.28,9764.740000000002,29,34
25649,38597,19,25,10122.28,8599.879999999997,29,30
25649,46638,19,24,10122.28,7610.399999999998,29,30
25649,42992,19,23,10122.28,9778.52,29,30
25649,39440,19,20,10122.28,9669.1,29,34
25649,30313,19,25,10122.28,8874.619999999999,29,32
25649,32080,19,20,10122.28,10055.57,29,30
25649,44826,19,24,10122.28,8604.97,29,30
25649,42475,19,20,10122.28,9271.68,29,34
25649,45302,19,23,10122.28,9028.62,29,30
25649,47141,19,20,10122.28,7406.809999999999,29,30
25649,37477,19,24,10122.28,8681.97,29,37
